Fastighet,Populärnamn
 ,Strandfloen Stena Recycling
10101 Stadshuset,Stadshuset
10104 Rådhuset,Rådhuset
10111 Brandstationen Falkenberg,Räddningstjänsten Falkenberg
10112 Brandstation Fegen,Brandstation Fegen
10113 0, 
10114 Brandstationen Vessigebro,Brandstation Vessigebro
10115 Brandstationen Ullared,Brandstation Ullared
10202 Falkenbergs IH,Falkenbergs Idrottshall
10203 Vinbergs IH,Vinbergs Idrottshall
10204 Morups IH,Morups Idrottshall
10205 Falkenbergs Arena,Falkenbergs Arena
10206 Vessige IH och bad,Vessige Idrottshall och Bad
10207 Ätrans Fritidsanläggning,Ätrans Fritidsanläggning
10208 Kattegattshallen,Kattegatthallen
10209 0,Slöing Idrottshall
10211 0,Hebergs Idrottshall
10212 Ullareds Idrottshall,Ullareds Idrottshall
10213 Tångaskolans Idrottshall,Tånga Idrottshall
10214 Skogstorpsskolans Idrottshall,Skogstorps Idrottshall
10215 Glommens Idrottshall,Glommens Idrottshall
10232 Anläggningsförråd,Anläggningsförråd
10238 Laxfiskestugan,Laxfiskestugan
10240 0,FORF
10241 0,Laxodlingshuset
10245 0, 
10251 Falkenbergs museum,Falkenbergs museum
10252 Hindströmska gården,Hindströmska gården
10253 Sjöbergs laxrökeri,Sjöbergs laxrökeri
10254 0,Morups Tånge
10255 Ätrans Bibliotek,Ätrans bibliotek (fd. banklokal)
10302 Vinbergsskolan inkl Gula villan,Vinbergsskolan
10303 Vessigebroskolan,Vessigebroskolan
"10304 Fajansskolan inkl. förskola, gymnastik",Fajanskolan inkl Gymnastikhall
10305 Schubergstorpsskolan inkl. gymnastik,Schubergstorpskolan
10311 Tångaskolan,Tångaskolan
10312 Tånga Montessori,Falkenbergs Montessoriskola
10321 Tullbroskolan inkl. gymnastik,Tullbroskolan
10322 Björkskolan (Nattugglans förskola),Nattugglans förskola/Björkskolan
10331 Slöingeskolan,Slöingeskolan
10332 Årstadskolan,Årstadskolan
"10333 Söderskolan inkl Zeta, Sigma",Söderskolan
10335 Hertingskolan,Hertingesskolan
10336 Hjortsbergskolan,Hjortsbergsskolan
"10337 Skreaskolan, Röda Huset",Skreaskolan/Lotsen
10341 Apelskolan,Apelskolan
10342 Fageredsskolan,Fageredskolan inkl Idrottshall
10343 Älvseredsskolan,Älvseredskolan inkl Gymnastiks
10344 Okomeskolan,Okome Skola
10346 Ätranskolan,Ätranskolan
10351 Skogstorpskolan,Skogstorpskolan
10352 Långavekaskolan,Långevekskolan
10354 Ljungbyskolan,Ljungbyskolan inkl Bibl o Gymn
10355 Långåsskolan,Långåsskolan
10356 Långåsskolan ny byggnad,Långåsskolan (nya skolbyggnad)
10360 Gymn hus 3,Gymnasieskolan Hus 3
10361 Gymn hus 1 inkl. IH,Gymnasieskolan Hus 1
10363 Gymn hus 5,Gymnasieskolan Hus 5
10364 Gymn hus 6 (matsal),Gymnasieskolan Hus 6 Matsal
10365 Gymn hus 7 (fritidens hus),Gymnasieskolan Hus 7
10366 Gymn Gula Villan,Gymnasieskolan Gula Villan
10367 Gymn Hus 12 (NTC),Gymnasieskolan Hus 12
10368 Gymn Hus 20,Gymnasieskolan Hus 20
10369 Gymn Hus 2 Argus,Gymnasieskolan Hus 2 Argus
10371 Musikskolan (Ga Badhuset),Gamla Badhuset
10404 Prästgården,Prästgården/Navigatorcentrum
10408 Tånga förskola Montessori,"Tånga Montessoriförskola, Kastanjen"
10409 Slättens förskola,Slättens Förskola
