Fastighet,Populärnamn,Latitude,Longitude,Formatted Address
,Strandfloen Stena Recycling,56.90462119999999,12.4705097,"Åkarevägen 6, 311 32 Falkenberg, Sweden"
10101 Stadshuset,Stadshuset,56.904312,12.491467,"Rådhustorget 3c, 311 31 Falkenberg, Sweden"
10104 Rådhuset,Rådhuset,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10111 Brandstationen Falkenberg,Räddningstjänsten Falkenberg,56.91662479999999,12.507427,"Vingrens väg 2, 311 76 Falkenberg, Sweden"
10112 Brandstation Fegen,Brandstation Fegen,57.1055553,13.0367485,"311 52 Fegen, Sweden"
10113 0,,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10114 Brandstationen Vessigebro,Brandstation Vessigebro,56.97773059999999,12.6513809,"311 64 Vessigebro, Sweden"
10115 Brandstationen Ullared,Brandstation Ullared,57.1362284,12.718278,"Ullared, Sweden"
10202 Falkenbergs IH,Falkenbergs Idrottshall,56.90346479999999,12.5022422,"Läroverksgatan 1, 311 45 Falkenberg, Sweden"
10203 Vinbergs IH,Vinbergs Idrottshall,56.94713609999999,12.5451858,"Apelsinvägen 9, 311 99 Vinberg, Sweden"
10204 Morups IH,Morups Idrottshall,56.97573389999999,12.3982688,"Spännavägen 2, 311 90 Morup, Sweden"
10205 Falkenbergs Arena,Falkenbergs Arena,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10206 Vessige IH och bad,Vessige Idrottshall och Bad,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10207 Ätrans Fritidsanläggning,Ätrans Fritidsanläggning,56.95974693560417,12.57195132959361,"Ätran, Sweden"
10208 Kattegattshallen,Kattegatthallen,56.8875974,12.4820638,"Bacchus väg, 311 77 Falkenberg, Sweden"
10209 0,Slöing Idrottshall,56.8527991,12.693234,"311 68 Falkenberg, Sweden"
10211 0,Hebergs Idrottshall,56.8858413,12.6314239,"Årstadsvägen 20, 311 96 Heberg, Sweden"
10212 Ullareds Idrottshall,Ullareds Idrottshall,57.1362284,12.718278,"Ullared, Sweden"
10213 Tångaskolans Idrottshall,Tånga Idrottshall,56.9176759,12.5021135,"154, 311 38 Falkenberg, Sweden"
10214 Skogstorpsskolans Idrottshall,Skogstorps Idrottshall,56.911176,12.434296,"56°54'40. 12°26'03., Kristian II:s väg 5, 262 34 Ängelholm, Sweden"
10215 Glommens Idrottshall,Glommens Idrottshall,56.935634,12.3746526,"LÅNGAVEKA 125, 311 54 Glommen, Sweden"
10232 Anläggningsförråd,Anläggningsförråd,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10238 Laxfiskestugan,Laxfiskestugan,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10240 0,FORF,56.8809616,12.529143,"Ridhusvägen 2, 311 41 Falkenberg, Sweden"
10241 0,Laxodlingshuset,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10245 0,,56.90273329999999,12.4888013,"Falkenberg, Sweden"
10251 Falkenbergs museum,Falkenbergs museum,56.8990115,12.4948329,"Skepparesträtet 2, 311 74 Falkenberg, Sweden"
10252 Hindströmska gården,Hindströmska gården,56.89762409999999,12.6885498,"Blixtorp, 311 97 Bergvik, Sweden"
